,R_mean,R_median,R_std,G_mean,G_median,G_std,B_mean,B_median,B_std,IR_mean,IR_median,IR_std,DomCol1_R,DomCol1_G,DomCol1_B,DomCol2_R,DomCol2_G,DomCol2_B,Edge_mean,Edge_median,Edge_std
407,0.545896,0.0,2.300936669529172,22.330509,22.0,3.85594071543106,43.697755,43.0,4.4005964323004,0.087424,0.0,1.3945813150275608,0.00166857599293067,0.08672590890279344,0.1704016946296772,0.2528900996397055,0.47885328602217586,0.1704016946296772,0.0004993313541834033,0.0,0.005562025152112462
408,0.543734,0.0,2.8489277521980094,21.627763,21.0,4.553763126890879,42.360851,42.0,5.168129792855343,0.136783,0.0,1.9240783276444335,0.001518370274357316,0.08374773887192345,0.16491758299077425,0.2845288083173484,0.5082425667055605,0.16491758299077425,0.0008038499885360323,0.0,0.007751562686386197
409,0.953586,0.0,4.515791596232491,21.049617,20.0,7.15493432208228,40.181668,39.0,8.087083079688002,0.37811,0.0,3.200184499040641,0.062008499785007484,0.19404936033438971,0.2874679929362235,0.0021307737597338707,0.0797513059906402,0.2874679929362235,0.0021055003510691787,0.0,0.012605441700589358
410,1.090736,0.0,5.431019147296758,19.415779,18.0,8.307850433364756,36.827708,35.0,9.27257296907045,0.493133,0.0,4.056074314446297,0.0022882461156237314,0.07278001854887527,0.14064796095480542,0.07467719092428425,0.20867557952655283,0.14064796095480542,0.0027843561267767622,0.0,0.015898611756029808
411,4.077038,1.0,10.380456114572038,25.729839,20.0,15.289068448864995,38.582955,35.0,13.935168404722457,1.368442,0.0,6.712792153242643,0.08180814807830458,0.20571839508839052,0.22796062489068006,0.005727127064965755,0.08514419044337462,0.22796062489068006,0.006827360756415858,0.0,0.025242668487010646
412,0.50499,0.0,1.2375455950792278,21.849694,21.0,2.7284589251744285,41.507369,41.0,2.3351941456416423,0.009498,0.0,0.3639612451841543,0.0008159629861698139,0.08189383737790716,0.15795369173934387,0.0027255672224213703,0.0888779092299098,0.15795369173934387,5.229295487764999e-05,0.0,0.0014638285725110858
413,0.598071,0.0,0.9262084425003909,22.312285,22.0,1.9318998625122887,43.221739,43.0,1.7600411403938832,0.018753,0.0,0.17022727452144676,0.006917352795503993,0.09519483197377626,0.17584944482179923,0.0009967304608597338,0.08904803167012632,0.17584944482179923,3.040312936360959e-05,0.0,0.0004369583822405189
414,0.511736,0.0,0.8869082626202105,22.105145,22.0,2.2942008475665334,43.709234,44.0,1.8061392895466286,0.001838,0.0,0.11455401239590016,0.0009885268930287588,0.07687826451785462,0.17331024418797591,0.0072461987306434395,0.0970084762258368,0.17331024418797591,8.902236037052454e-06,0.0,0.00043966358082458637
415,0.563185,0.0,1.1704946201392812,25.273422,25.0,3.3582391829522806,45.739019,46.0,2.6769549711638785,0.008302,0.0,0.3819176309048849,0.0036936302266336743,0.11154612573133411,0.18803015922853816,0.0012208467709552116,0.09151088062396452,0.18803015922853816,4.500678437369262e-05,0.0,0.0015104768536918184
416,0.603612,0.0,1.490443072866589,27.79809,27.0,3.1277705081894993,47.334448,47.0,2.9318527478875875,0.01925,0.0,0.561224943761412,0.004095021371171002,0.11902314357296499,0.19361798845398434,0.0011775990589137006,0.10285615823333989,0.19361798845398434,0.00011004616854878071,0.0,0.0022915899830633565
